nombre,f_creacion,antecedentes,tecnica
Clasica Monumento,2017-06-03,0,Soldadura
Intrincada Esencia,2020-08-16,1,Modelado
Enigmatica Silencio,2023-12-30,0,Fundicion
Dinamica Esencia,2022-10-25,1,Soldadura
Abstraccion Materia,2019-01-11,1,Cincelado
Monumental Silencio,2023-03-29,1,Soldadura
Abstraccion Forma,2023-08-05,1,Fundicion
Mistica Trazos,2022-02-02,0,Soldadura
Estilizada Concepto,2023-05-31,1,Soldadura
Eterna Horizonte,2018-05-22,1,Fundicion
Brillante Templo,2018-08-01,0,Cincelado
Majestuosa Esencia,2019-01-11,0,Tallado
Sublime Trazos,2024-01-20,1,Fundicion
Imponente Reflejo,2021-12-10,1,Soldadura
Impactante Inspiracion,2022-07-07,1,Fundicion
Armonica Movimiento,2021-10-01,0,Modelado
Radiante Obra,2023-12-22,1,Fundicion
Armonica Templo,2018-10-07,1,Cincelado
Expresiva Realidad,2020-01-24,1,Tallado
Atemporal Sueno,2016-11-23,1,Cincelado
Estilizada Imaginacion,2018-10-05,1,Tallado
Armonica Silencio,2017-09-10,1,Soldadura
Delicada Caracter,2019-04-09,0,Soldadura
Imponente Profundidad,2017-10-13,1,Tallado
Impactante Monumento,2024-10-04,1,Tallado
Contemplativa Profundidad,2023-08-10,0,Fundicion
Sofisticada Infinito,2014-11-23,1,Cincelado
Espiritual Inspiracion,2024-05-27,0,Modelado
Abstraccion Monumento,2019-03-09,1,Cincelado
Imponente Destello,2021-08-14,1,Soldadura
Eterna Infinito,2020-02-22,0,Cincelado
Delicada Templo,2024-01-07,0,Soldadura
Vanguardista Legado,2016-05-15,0,Soldadura
Visionaria Realidad,2015-08-03,0,Modelado
Imponente Legado,2017-01-02,1,Modelado
Estilizada Silencio,2015-11-29,0,Soldadura
Delicada Inspiracion,2023-05-27,1,Modelado
Enigmatica Perspectiva,2022-01-31,1,Cincelado
Imponente Forma,2021-06-27,1,Soldadura
Espiritual Trazos,2023-06-26,1,Modelado
Sofisticada Templo,2016-07-13,1,Soldadura
Dinamica Horizonte,2015-10-15,0,Soldadura
Monumental Esencia,2015-08-07,1,Tallado
Naturalista Luz,2019-10-16,0,Tallado
Dinamica Destello,2023-04-19,1,Fundicion
Sublime Infinito,2023-05-23,1,Soldadura
Visionaria Imaginacion,2022-12-03,0,Tallado
Brillante Materia,2018-12-03,1,Soldadura
Sofisticada Identidad,2022-02-06,1,Modelado
Estilizada Sombra,2020-06-24,1,Cincelado
Visionaria Forma,2015-05-14,1,Cincelado
Estilizada Inspiracion,2024-10-04,0,Modelado
Estilizada Esencia,2021-11-21,1,Fundicion
Resplandeciente Inspiracion,2024-05-05,0,Cincelado
Monumental Infinito,2021-09-19,0,Cincelado
Elegante Movimiento,2016-07-03,1,Soldadura
Sofisticada Concepto,2015-02-17,1,Tallado
Estilizada Piedra,2023-09-03,1,Cincelado
Dinamica Forma,2022-01-25,1,Cincelado
Impactante Materia,2018-10-01,1,Modelado
Sublime Movimiento,2016-11-21,1,Soldadura
Enigmatica Obra,2023-12-02,0,Soldadura
Intrincada Tradicion,2022-06-21,1,Fundicion
Contemplativa Sueno,2019-05-08,1,Modelado
Delicada Reflejo,2022-03-05,1,Fundicion
Trascendental Sueno,2021-05-07,1,Tallado
Vanguardista Figura,2015-11-28,0,Cincelado
Abstracta Silencio,2024-09-18,1,Fundicion
Radiante Identidad,2015-06-21,0,Fundicion
Abstracta Perspectiva,2017-08-21,1,Tallado
Visionaria Simetria,2021-12-02,0,Soldadura
Resplandeciente Identidad,2024-08-26,1,Tallado
Trascendental Luz,2018-11-24,0,Soldadura
Enigmatica Templo,2023-10-07,0,Tallado
Dinamica Monumento,2021-05-10,1,Fundicion
Abstraccion Sombra,2022-06-23,0,Soldadura
Espiritual Tradicion,2024-06-13,1,Fundicion
Expresiva Sueno,2021-07-03,1,Fundicion
Imponente Concepto,2015-01-07,1,Tallado
Sublime Silencio,2023-10-12,0,Modelado
Contemplativa Simetria,2018-04-18,1,Fundicion
Serena Esencia,2023-04-02,0,Tallado
Monumental Sueno,2019-08-25,1,Modelado
Enigmatica Tranquilidad,2022-04-27,1,Soldadura
Sublime Piedra,2018-01-25,1,Tallado
Sofisticada Caracter,2022-05-25,1,Fundicion
Trascendental Materia,2020-07-18,1,Modelado
Contemplativa Identidad,2016-02-15,0,Fundicion
Sofisticada Obra,2015-04-26,0,Tallado
Imponente Figura,2022-04-07,1,Fundicion
Vanguardista Caracter,2021-07-07,0,Fundicion
Delicada Realidad,2016-03-19,0,Soldadura
Sofisticada Sombra,2022-05-28,0,Soldadura
Serena Forma,2021-10-05,1,Modelado
Abstracta Obra,2016-02-11,0,Tallado
Serena Caracter,2022-11-07,0,Fundicion
Atemporal Destello,2016-10-07,0,Tallado
Monumental Piedra,2023-01-30,0,Tallado
Espiritual Profundidad,2016-01-07,1,Modelado
Sublime Caracter,2023-05-17,0,Modelado
